saldo_cuenta(millones),duracion_prestamo_meses,historial_crediticio,proposito,monto(millones),saldo_ahorros(millones),antiguedad_empleo,tasa_cuotas,estado_personal,otros_deudores,historial_residencia,propiedad,edad,plan_cuotas,vivienda,creditos_existentes,trabajo,dependientes,telefono,trabajador_extranjero,incumplimiento
1M - 10M,24,pagado,muebles,4351,desconocido,1 - 4 años,1,mujer,ninguno,4,sociedad de ahorros y préstamos,48,ninguno,propia,1,residente no calificado,1,sí,sí,0
desconocido,12,crítico,educación,701,< 1M,1 - 4 años,4,hombre soltero,ninguno,2,otro,32,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
< 1M,15,retrasado,muebles,3643,< 1M,> 7 años,1,mujer,ninguno,4,sociedad de ahorros y préstamos,27,ninguno,propia,2,residente no calificado,1,ninguno,sí,0
1M - 10M,30,crítico,coche (nuevo),4249,< 1M,desempleado,4,hombre casado,ninguno,2,otro,28,ninguno,propia,2,autónomo gerente,1,ninguno,sí,1
< 1M,24,pagado,radio/televisión,1938,< 1M,0 - 1 año,4,hombre divorciado,ninguno,3,sociedad de ahorros y préstamos,32,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
< 1M,24,pagado,coche (usado),2910,< 1M,4 - 7 años,2,hombre soltero,ninguno,1,desconocido/nada,34,ninguno,gratuita,1,autónomo gerente,1,sí,sí,0
< 1M,18,pagado,muebles,2659,> 100M,1 - 4 años,4,hombre soltero,ninguno,2,otro,28,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,18,crítico,coche (nuevo),1028,< 1M,1 - 4 años,4,mujer,ninguno,3,bienes raíces,36,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
< 1M,8,crítico,coche (nuevo),3398,< 1M,4 - 7 años,1,hombre soltero,ninguno,4,bienes raíces,39,ninguno,propia,2,residente no calificado,1,ninguno,no,0
desconocido,12,crítico,muebles,5801,desconocido,> 7 años,2,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,49,ninguno,alquilada,1,empleado calificado,1,sí,sí,0
desconocido,24,pagado,coche (nuevo),1525,> 100M,4 - 7 años,4,mujer,ninguno,3,otro,34,ninguno,propia,1,empleado calificado,2,sí,sí,0
> 10M,36,pagado,radio/televisión,4473,< 1M,> 7 años,4,hombre soltero,ninguno,2,otro,31,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,6,pagado,radio/televisión,1068,< 1M,> 7 años,4,hombre soltero,ninguno,4,otro,28,ninguno,propia,1,empleado calificado,2,ninguno,sí,0
< 1M,24,crítico,coche (usado),6615,< 1M,desempleado,2,hombre soltero,ninguno,4,desconocido/nada,75,ninguno,gratuita,2,autónomo gerente,1,sí,sí,0
desconocido,18,crítico,educación,1864,1M - 10M,1 - 4 años,4,mujer,ninguno,2,bienes raíces,30,ninguno,propia,2,empleado calificado,1,ninguno,sí,1
1M - 10M,60,pagado,coche (nuevo),7408,1M - 10M,0 - 1 año,4,mujer,ninguno,2,sociedad de ahorros y préstamos,24,ninguno,propia,1,autónomo gerente,1,ninguno,sí,1
desconocido,48,crítico,coche (usado),11590,1M - 10M,1 - 4 años,2,mujer,ninguno,4,otro,24,banco,alquilada,2,residente no calificado,1,ninguno,sí,1
< 1M,24,totalmente pagado,muebles,4110,< 1M,> 7 años,3,hombre soltero,ninguno,4,desconocido/nada,23,banco,alquilada,2,empleado calificado,2,ninguno,sí,1
< 1M,6,crítico,muebles,3384,< 1M,1 - 4 años,1,hombre divorciado,ninguno,4,bienes raíces,44,ninguno,alquilada,1,autónomo gerente,1,sí,sí,1
1M - 10M,13,pagado,radio/televisión,2101,< 1M,0 - 1 año,2,mujer,aval,4,sociedad de ahorros y préstamos,23,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
< 1M,15,pagado,electrodomésticos domésticos,1275,desconocido,1 - 4 años,4,mujer,ninguno,2,otro,24,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,1
< 1M,24,pagado,muebles,4169,< 1M,1 - 4 años,4,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,28,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,10,pagado,muebles,1521,< 1M,1 - 4 años,4,hombre divorciado,ninguno,2,otro,31,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
1M - 10M,24,crítico,educación,5743,< 1M,0 - 1 año,2,mujer,ninguno,4,desconocido/nada,24,ninguno,gratuita,2,empleado calificado,1,sí,sí,0
< 1M,21,pagado,muebles,3599,< 1M,4 - 7 años,1,mujer,ninguno,4,otro,26,ninguno,alquilada,1,residente no calificado,1,ninguno,sí,0
1M - 10M,18,pagado,radio/televisión,3213,10M - 100M,0 - 1 año,1,hombre casado,ninguno,3,bienes raíces,25,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
1M - 10M,18,pagado,negocios,4439,< 1M,> 7 años,1,hombre soltero,co-solicitante,1,bienes raíces,33,banco,propia,1,autónomo gerente,1,sí,sí,0
> 10M,10,pagado,coche (nuevo),3949,< 1M,0 - 1 año,1,hombre soltero,aval,1,sociedad de ahorros y préstamos,37,ninguno,propia,1,residente no calificado,2,ninguno,sí,0
desconocido,15,crítico,radio/televisión,1459,< 1M,1 - 4 años,4,mujer,ninguno,2,otro,43,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
1M - 10M,13,crítico,radio/televisión,882,< 1M,0 - 1 año,4,hombre soltero,aval,4,bienes raíces,23,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
1M - 10M,24,pagado,radio/televisión,3758,10M - 100M,desempleado,1,mujer,ninguno,4,desconocido/nada,23,ninguno,alquilada,1,desempleado no residente,1,ninguno,sí,0
desconocido,6,retrasado,negocios,1743,1M - 10M,1 - 4 años,1,hombre soltero,ninguno,2,bienes raíces,34,ninguno,propia,2,residente no calificado,1,ninguno,sí,0
1M - 10M,9,crítico,educación,1136,> 100M,> 7 años,4,hombre soltero,ninguno,3,desconocido/nada,32,ninguno,gratuita,2,empleado calificado,2,ninguno,sí,1
desconocido,9,pagado,electrodomésticos domésticos,1236,< 1M,0 - 1 año,1,mujer,ninguno,4,bienes raíces,23,ninguno,alquilada,1,empleado calificado,1,sí,sí,0
1M - 10M,9,pagado,muebles,959,< 1M,1 - 4 años,1,mujer,ninguno,2,otro,29,ninguno,propia,1,empleado calificado,1,ninguno,no,1
desconocido,18,crítico,coche (usado),3229,desconocido,desempleado,2,hombre soltero,ninguno,4,desconocido/nada,38,ninguno,propia,1,autónomo gerente,1,sí,sí,0
< 1M,12,totalmente pagado,radio/televisión,6199,< 1M,1 - 4 años,4,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,28,ninguno,alquilada,2,empleado calificado,1,sí,sí,1
desconocido,10,pagado,educación,727,10M - 100M,> 7 años,4,hombre soltero,ninguno,4,desconocido/nada,46,ninguno,gratuita,1,empleado calificado,1,sí,sí,0
1M - 10M,24,pagado,coche (nuevo),1246,< 1M,0 - 1 año,4,hombre soltero,ninguno,2,bienes raíces,23,tiendas,propia,1,residente no calificado,1,ninguno,sí,1
desconocido,12,crítico,radio/televisión,2331,desconocido,> 7 años,1,hombre soltero,co-solicitante,4,bienes raíces,49,ninguno,propia,1,empleado calificado,1,sí,sí,0
desconocido,36,retrasado,radio/televisión,4463,< 1M,1 - 4 años,4,hombre soltero,ninguno,2,otro,26,ninguno,propia,2,autónomo gerente,1,sí,sí,1
desconocido,12,pagado,radio/televisión,776,< 1M,1 - 4 años,4,hombre casado,ninguno,2,bienes raíces,28,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,30,pagado,muebles,2406,< 1M,4 - 7 años,4,mujer,ninguno,4,bienes raíces,23,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,1
1M - 10M,18,pagado,educación,1239,desconocido,1 - 4 años,4,hombre soltero,ninguno,4,desconocido/nada,61,ninguno,gratuita,1,empleado calificado,1,ninguno,sí,0
> 10M,12,pagado,radio/televisión,3399,desconocido,> 7 años,2,hombre soltero,ninguno,3,otro,37,ninguno,propia,1,autónomo gerente,1,ninguno,sí,0
> 10M,12,retrasado,coche (nuevo),2247,< 1M,1 - 4 años,2,mujer,ninguno,2,otro,36,tiendas,propia,2,empleado calificado,1,sí,sí,0
desconocido,6,pagado,muebles,1766,< 1M,1 - 4 años,1,hombre casado,ninguno,2,sociedad de ahorros y préstamos,21,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
< 1M,18,pagado,muebles,2473,< 1M,desempleado,4,hombre soltero,ninguno,1,otro,25,ninguno,propia,1,desempleado no residente,1,ninguno,sí,1
desconocido,12,pagado,negocios,1542,< 1M,4 - 7 años,2,hombre soltero,ninguno,4,otro,36,ninguno,propia,1,empleado calificado,1,sí,sí,0
desconocido,18,crítico,coche (usado),3850,< 1M,4 - 7 años,3,hombre soltero,ninguno,1,otro,27,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
< 1M,18,pagado,muebles,3650,< 1M,0 - 1 año,1,mujer,ninguno,4,otro,22,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
< 1M,36,pagado,muebles,3446,< 1M,> 7 años,4,hombre soltero,ninguno,2,otro,42,ninguno,propia,1,empleado calificado,2,ninguno,sí,1
1M - 10M,18,pagado,muebles,3001,< 1M,4 - 7 años,2,mujer,ninguno,4,bienes raíces,40,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
desconocido,36,pagado,coche (nuevo),3079,desconocido,1 - 4 años,4,hombre soltero,ninguno,4,bienes raíces,36,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,18,crítico,radio/televisión,6070,< 1M,> 7 años,3,hombre soltero,ninguno,4,otro,33,ninguno,propia,2,empleado calificado,1,sí,sí,0
desconocido,10,crítico,muebles,2146,< 1M,0 - 1 año,1,mujer,ninguno,3,bienes raíces,23,ninguno,alquilada,2,empleado calificado,1,ninguno,sí,0
desconocido,60,crítico,coche (nuevo),13756,desconocido,> 7 años,2,hombre soltero,ninguno,4,desconocido/nada,63,banco,gratuita,1,autónomo gerente,1,sí,sí,0
1M - 10M,60,totalmente pagado en este banco,otros,14782,1M - 10M,> 7 años,3,mujer,ninguno,4,desconocido/nada,60,banco,gratuita,2,autónomo gerente,1,sí,sí,1
< 1M,48,totalmente pagado en este banco,negocios,7685,< 1M,4 - 7 años,2,mujer,aval,4,otro,37,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,1
desconocido,18,retrasado,radio/televisión,2320,< 1M,desempleado,2,hombre casado,ninguno,3,bienes raíces,34,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,7,retrasado,radio/televisión,846,desconocido,> 7 años,3,hombre soltero,ninguno,4,desconocido/nada,36,ninguno,gratuita,1,empleado calificado,1,ninguno,sí,0
1M - 10M,36,pagado,coche (nuevo),14318,< 1M,> 7 años,4,hombre soltero,ninguno,2,desconocido/nada,57,ninguno,gratuita,1,autónomo gerente,1,sí,sí,1
desconocido,6,crítico,coche (nuevo),362,1M - 10M,1 - 4 años,4,mujer,ninguno,4,otro,52,ninguno,propia,2,residente no calificado,1,ninguno,sí,0
< 1M,20,pagado,muebles,2212,desconocido,4 - 7 años,4,hombre soltero,ninguno,4,otro,39,ninguno,propia,1,empleado calificado,1,sí,sí,0
1M - 10M,18,pagado,coche (usado),12976,< 1M,desempleado,3,mujer,ninguno,4,desconocido/nada,38,ninguno,gratuita,1,autónomo gerente,1,sí,sí,1
desconocido,22,pagado,coche (nuevo),1283,desconocido,4 - 7 años,4,mujer,ninguno,4,sociedad de ahorros y préstamos,25,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
> 10M,12,pagado,coche (nuevo),1330,< 1M,0 - 1 año,4,hombre soltero,ninguno,1,bienes raíces,26,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,30,retrasado,negocios,4272,1M - 10M,1 - 4 años,2,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,26,ninguno,propia,2,residente no calificado,1,ninguno,sí,0
desconocido,18,crítico,radio/televisión,2238,< 1M,1 - 4 años,2,mujer,ninguno,1,otro,25,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,18,pagado,radio/televisión,1126,desconocido,0 - 1 año,4,mujer,ninguno,2,bienes raíces,21,ninguno,alquilada,1,empleado calificado,1,sí,sí,0
1M - 10M,18,crítico,muebles,7374,< 1M,desempleado,4,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,40,tiendas,propia,2,autónomo gerente,1,sí,sí,0
1M - 10M,15,crítico,negocios,2326,10M - 100M,1 - 4 años,2,hombre soltero,ninguno,4,otro,27,banco,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,9,pagado,negocios,1449,< 1M,4 - 7 años,3,mujer,ninguno,2,otro,27,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,18,pagado,coche (nuevo),1820,< 1M,1 - 4 años,2,hombre casado,ninguno,2,sociedad de ahorros y préstamos,30,ninguno,propia,1,autónomo gerente,1,sí,sí,0
1M - 10M,12,pagado,muebles,983,> 100M,0 - 1 año,1,mujer,ninguno,4,bienes raíces,19,ninguno,alquilada,1,residente no calificado,1,ninguno,sí,0
< 1M,36,pagado,coche (nuevo),3249,< 1M,4 - 7 años,2,hombre soltero,ninguno,4,desconocido/nada,39,banco,gratuita,1,autónomo gerente,2,sí,sí,0
< 1M,6,crítico,radio/televisión,1957,< 1M,4 - 7 años,1,mujer,ninguno,4,otro,31,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,9,crítico,muebles,2406,< 1M,desempleado,2,hombre soltero,ninguno,3,otro,31,ninguno,propia,1,autónomo gerente,1,ninguno,sí,0
1M - 10M,39,retrasado,educación,11760,1M - 10M,4 - 7 años,2,hombre soltero,ninguno,3,desconocido/nada,32,ninguno,alquilada,1,empleado calificado,1,sí,sí,0
< 1M,12,pagado,muebles,2578,< 1M,desempleado,3,mujer,ninguno,4,desconocido/nada,55,ninguno,gratuita,1,autónomo gerente,1,ninguno,sí,0
< 1M,36,crítico,muebles,2348,< 1M,1 - 4 años,3,hombre casado,ninguno,2,sociedad de ahorros y préstamos,46,ninguno,propia,2,empleado calificado,1,sí,sí,0
1M - 10M,12,pagado,coche (nuevo),1223,< 1M,> 7 años,1,hombre divorciado,ninguno,1,bienes raíces,46,ninguno,alquilada,2,empleado calificado,1,ninguno,sí,1
desconocido,24,crítico,radio/televisión,1516,> 100M,1 - 4 años,4,mujer,ninguno,1,bienes raíces,43,ninguno,propia,2,residente no calificado,1,ninguno,sí,0
desconocido,18,pagado,radio/televisión,1473,< 1M,0 - 1 año,3,hombre casado,ninguno,4,bienes raíces,39,ninguno,propia,1,empleado calificado,1,sí,sí,0
1M - 10M,18,crítico,negocios,1887,desconocido,1 - 4 años,4,hombre casado,ninguno,4,bienes raíces,28,banco,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,24,retrasado,negocios,8648,< 1M,0 - 1 año,2,hombre soltero,ninguno,2,otro,27,banco,propia,2,empleado calificado,1,sí,sí,1
desconocido,14,retrasado,coche (nuevo),802,< 1M,1 - 4 años,4,hombre soltero,ninguno,2,otro,27,ninguno,propia,2,residente no calificado,1,ninguno,sí,0
1M - 10M,18,retrasado,coche (nuevo),2899,desconocido,> 7 años,4,hombre soltero,ninguno,4,otro,43,ninguno,propia,1,empleado calificado,2,ninguno,sí,0
1M - 10M,24,pagado,radio/televisión,2039,< 1M,0 - 1 año,1,hombre casado,ninguno,1,sociedad de ahorros y préstamos,22,ninguno,propia,1,empleado calificado,1,sí,sí,1
desconocido,24,crítico,coche (usado),2197,desconocido,4 - 7 años,4,hombre soltero,ninguno,4,otro,43,ninguno,propia,2,empleado calificado,2,sí,sí,0
< 1M,15,pagado,radio/televisión,1053,< 1M,0 - 1 año,4,hombre casado,ninguno,2,bienes raíces,27,ninguno,propia,1,empleado calificado,1,ninguno,no,0
desconocido,24,pagado,radio/televisión,3235,10M - 100M,> 7 años,3,hombre divorciado,ninguno,2,otro,26,ninguno,propia,1,autónomo gerente,1,sí,sí,0
> 10M,12,crítico,coche (nuevo),939,10M - 100M,4 - 7 años,4,hombre casado,ninguno,2,bienes raíces,28,ninguno,propia,3,empleado calificado,1,sí,sí,1
1M - 10M,24,pagado,radio/televisión,1967,< 1M,> 7 años,4,mujer,ninguno,4,otro,20,ninguno,propia,1,empleado calificado,1,sí,sí,0
desconocido,33,crítico,coche (usado),7253,< 1M,4 - 7 años,3,hombre soltero,ninguno,2,otro,35,ninguno,propia,2,autónomo gerente,1,sí,sí,0
desconocido,12,crítico,negocios,2292,< 1M,desempleado,4,hombre soltero,ninguno,2,otro,42,tiendas,propia,2,autónomo gerente,1,sí,sí,1
desconocido,10,pagado,coche (nuevo),1597,10M - 100M,1 - 4 años,3,hombre soltero,ninguno,2,desconocido/nada,40,ninguno,alquilada,1,residente no calificado,2,ninguno,no,0
< 1M,24,pagado,coche (nuevo),1381,desconocido,1 - 4 años,4,mujer,ninguno,2,sociedad de ahorros y préstamos,35,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
desconocido,36,crítico,coche (usado),5842,< 1M,> 7 años,2,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,35,ninguno,propia,2,empleado calificado,2,sí,sí,0
< 1M,12,pagado,coche (nuevo),2579,< 1M,0 - 1 año,4,hombre soltero,ninguno,1,bienes raíces,33,ninguno,propia,1,residente no calificado,2,ninguno,sí,1
< 1M,18,retrasado,educación,8471,desconocido,1 - 4 años,1,mujer,ninguno,2,otro,23,ninguno,alquilada,2,empleado calificado,1,sí,sí,0
desconocido,21,pagado,coche (nuevo),2782,10M - 100M,4 - 7 años,1,mujer,ninguno,2,otro,31,banco,propia,1,autónomo gerente,1,ninguno,sí,0
1M - 10M,18,pagado,coche (nuevo),1042,desconocido,1 - 4 años,4,mujer,ninguno,2,sociedad de ahorros y préstamos,33,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
desconocido,15,pagado,coche (nuevo),3186,> 100M,4 - 7 años,2,mujer,ninguno,3,otro,20,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
1M - 10M,12,pagado,coche (usado),2028,desconocido,1 - 4 años,4,hombre soltero,ninguno,2,otro,30,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,12,crítico,coche (nuevo),958,< 1M,4 - 7 años,2,hombre soltero,ninguno,3,bienes raíces,47,ninguno,propia,2,residente no calificado,2,ninguno,sí,0
desconocido,21,retrasado,muebles,1591,1M - 10M,4 - 7 años,4,hombre soltero,ninguno,3,bienes raíces,34,ninguno,propia,2,autónomo gerente,1,ninguno,sí,0
1M - 10M,12,pagado,muebles,2762,desconocido,> 7 años,1,mujer,ninguno,2,sociedad de ahorros y préstamos,25,banco,propia,1,empleado calificado,1,sí,sí,1
1M - 10M,18,pagado,coche (usado),2779,< 1M,1 - 4 años,1,hombre casado,ninguno,3,otro,21,ninguno,alquilada,1,empleado calificado,1,sí,sí,0
desconocido,28,crítico,radio/televisión,2743,< 1M,> 7 años,4,hombre soltero,ninguno,2,otro,29,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,18,crítico,radio/televisión,1149,> 100M,1 - 4 años,4,hombre soltero,ninguno,3,bienes raíces,46,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,9,pagado,muebles,1313,< 1M,> 7 años,1,hombre soltero,ninguno,4,otro,20,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,18,crítico,reparaciones,1190,< 1M,desempleado,2,mujer,ninguno,4,desconocido/nada,55,ninguno,gratuita,3,desempleado no residente,2,ninguno,sí,1
desconocido,5,pagado,negocios,3448,< 1M,4 - 7 años,1,hombre soltero,ninguno,4,bienes raíces,74,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
1M - 10M,24,pagado,otros,11328,< 1M,1 - 4 años,2,hombre soltero,co-solicitante,3,otro,29,banco,propia,2,autónomo gerente,1,sí,sí,1
< 1M,6,crítico,muebles,1872,< 1M,desempleado,4,hombre soltero,ninguno,4,desconocido/nada,36,ninguno,gratuita,3,autónomo gerente,1,sí,sí,0
desconocido,24,crítico,reparaciones,2058,< 1M,1 - 4 años,4,hombre divorciado,ninguno,2,bienes raíces,33,ninguno,propia,2,empleado calificado,1,sí,sí,0
< 1M,9,pagado,muebles,2136,< 1M,1 - 4 años,3,hombre soltero,ninguno,2,bienes raíces,25,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,12,pagado,radio/televisión,1484,desconocido,1 - 4 años,2,hombre casado,ninguno,1,bienes raíces,25,ninguno,propia,1,empleado calificado,1,sí,sí,1
desconocido,6,pagado,reparaciones,660,10M - 100M,4 - 7 años,2,hombre casado,ninguno,4,bienes raíces,23,ninguno,alquilada,1,residente no calificado,1,ninguno,sí,0
desconocido,24,crítico,coche (nuevo),1287,> 100M,> 7 años,4,mujer,ninguno,4,bienes raíces,37,ninguno,propia,2,empleado calificado,1,sí,sí,0
< 1M,42,crítico,reparaciones,3394,< 1M,desempleado,4,hombre soltero,co-solicitante,4,otro,65,ninguno,propia,2,desempleado no residente,1,ninguno,sí,0
> 10M,12,totalmente pagado en este banco,negocios,609,< 1M,0 - 1 año,4,mujer,ninguno,1,bienes raíces,26,ninguno,propia,1,desempleado no residente,1,ninguno,sí,1
desconocido,12,pagado,coche (nuevo),1884,< 1M,> 7 años,4,hombre soltero,ninguno,4,otro,39,ninguno,propia,1,autónomo gerente,1,sí,sí,0
< 1M,12,pagado,muebles,1620,< 1M,1 - 4 años,2,mujer,co-solicitante,3,sociedad de ahorros y préstamos,30,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,20,retrasado,otros,2629,< 1M,1 - 4 años,2,hombre soltero,ninguno,3,otro,29,banco,propia,2,empleado calificado,1,sí,sí,0
desconocido,12,pagado,educación,719,< 1M,> 7 años,4,hombre soltero,ninguno,4,otro,41,banco,propia,1,residente no calificado,2,ninguno,sí,1
1M - 10M,48,crítico,muebles,5096,< 1M,1 - 4 años,2,mujer,ninguno,3,otro,30,ninguno,propia,1,autónomo gerente,1,sí,sí,1
desconocido,9,crítico,educación,1244,desconocido,> 7 años,4,mujer,ninguno,4,sociedad de ahorros y préstamos,41,ninguno,alquilada,2,residente no calificado,1,ninguno,sí,0
< 1M,36,pagado,coche (nuevo),1842,< 1M,0 - 1 año,4,mujer,ninguno,4,otro,34,ninguno,propia,1,empleado calificado,1,sí,sí,1
1M - 10M,7,pagado,radio/televisión,2576,< 1M,1 - 4 años,2,hombre soltero,aval,2,bienes raíces,35,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
> 10M,12,pagado,muebles,1424,desconocido,> 7 años,3,mujer,ninguno,4,bienes raíces,55,ninguno,propia,1,autónomo gerente,1,sí,sí,0
1M - 10M,15,retrasado,reparaciones,1512,> 100M,1 - 4 años,3,hombre casado,ninguno,3,sociedad de ahorros y préstamos,61,tiendas,propia,2,empleado calificado,1,ninguno,sí,1
desconocido,36,crítico,coche (usado),11054,desconocido,1 - 4 años,4,hombre soltero,ninguno,2,otro,30,ninguno,propia,1,autónomo gerente,1,sí,sí,0
desconocido,6,pagado,radio/televisión,518,< 1M,1 - 4 años,3,mujer,ninguno,1,bienes raíces,29,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,12,totalmente pagado,muebles,2759,< 1M,> 7 años,2,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,34,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,24,pagado,coche (usado),2670,< 1M,> 7 años,4,hombre soltero,ninguno,4,otro,35,ninguno,propia,1,autónomo gerente,1,sí,sí,0
< 1M,24,pagado,coche (nuevo),4817,< 1M,4 - 7 años,2,hombre soltero,co-solicitante,3,sociedad de ahorros y préstamos,31,ninguno,propia,1,empleado calificado,1,sí,sí,1
desconocido,24,pagado,coche (usado),2679,< 1M,0 - 1 año,4,mujer,ninguno,1,desconocido/nada,29,ninguno,propia,1,autónomo gerente,1,sí,sí,0
< 1M,11,crítico,coche (nuevo),3905,< 1M,1 - 4 años,2,hombre soltero,ninguno,2,bienes raíces,36,ninguno,alquilada,2,empleado calificado,2,ninguno,sí,0
< 1M,12,pagado,coche (usado),3386,< 1M,> 7 años,3,hombre soltero,ninguno,4,desconocido/nada,35,ninguno,gratuita,1,empleado calificado,1,sí,sí,1
< 1M,6,pagado,electrodomésticos domésticos,343,< 1M,0 - 1 año,4,mujer,ninguno,1,bienes raíces,27,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,18,pagado,radio/televisión,4594,< 1M,0 - 1 año,3,hombre soltero,ninguno,2,otro,32,ninguno,propia,1,empleado calificado,1,sí,sí,0
< 1M,36,pagado,muebles,3620,< 1M,1 - 4 años,1,hombre soltero,aval,2,sociedad de ahorros y préstamos,37,ninguno,propia,1,empleado calificado,2,ninguno,sí,0
< 1M,15,pagado,coche (nuevo),1721,< 1M,0 - 1 año,2,hombre soltero,ninguno,3,bienes raíces,36,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,12,pagado,muebles,3017,< 1M,0 - 1 año,3,mujer,ninguno,1,bienes raíces,34,ninguno,alquilada,1,autónomo gerente,1,ninguno,sí,0
1M - 10M,12,pagado,reentrenamiento,754,desconocido,> 7 años,4,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,38,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,18,pagado,negocios,1950,< 1M,4 - 7 años,4,hombre soltero,ninguno,1,otro,34,tiendas,propia,2,empleado calificado,1,sí,sí,0
< 1M,24,pagado,coche (usado),2924,< 1M,1 - 4 años,3,hombre soltero,aval,4,desconocido/nada,63,banco,propia,1,empleado calificado,2,sí,sí,0
< 1M,24,retrasado,radio/televisión,1659,< 1M,0 - 1 año,4,mujer,ninguno,2,otro,29,ninguno,alquilada,1,residente no calificado,1,sí,sí,1
desconocido,48,retrasado,radio/televisión,7238,desconocido,> 7 años,3,hombre soltero,ninguno,3,otro,32,banco,propia,2,empleado calificado,2,ninguno,sí,0
desconocido,33,retrasado,negocios,2764,< 1M,1 - 4 años,2,mujer,ninguno,2,otro,26,ninguno,propia,2,empleado calificado,1,sí,sí,0
desconocido,24,retrasado,coche (usado),4679,< 1M,4 - 7 años,3,hombre soltero,ninguno,3,otro,35,ninguno,propia,2,residente no calificado,1,sí,sí,0
1M - 10M,24,pagado,radio/televisión,3092,1M - 10M,0 - 1 año,3,hombre casado,ninguno,2,otro,22,ninguno,alquilada,1,empleado calificado,1,sí,sí,1
< 1M,6,pagado,educación,448,< 1M,0 - 1 año,4,mujer,ninguno,4,sociedad de ahorros y préstamos,23,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
< 1M,9,pagado,coche (nuevo),654,< 1M,1 - 4 años,4,hombre soltero,ninguno,3,otro,28,ninguno,propia,1,residente no calificado,1,ninguno,sí,1
desconocido,6,pagado,reentrenamiento,1238,desconocido,desempleado,4,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,36,ninguno,propia,1,autónomo gerente,2,sí,sí,0
1M - 10M,18,crítico,radio/televisión,1245,< 1M,1 - 4 años,4,hombre casado,ninguno,2,otro,33,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
< 1M,18,totalmente pagado,muebles,3114,< 1M,0 - 1 año,1,mujer,ninguno,4,sociedad de ahorros y préstamos,26,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,1
desconocido,39,pagado,coche (usado),2569,10M - 100M,1 - 4 años,4,hombre soltero,ninguno,4,otro,24,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
> 10M,24,pagado,radio/televisión,5152,< 1M,4 - 7 años,4,hombre soltero,ninguno,2,otro,25,banco,propia,1,empleado calificado,1,ninguno,sí,0
